[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
391.875	313.812	339.418	301.176	292.409
391.813	323.584	340.802	301.710	292.898
391.751	287.791	341.807	302.235	293.388
391.689	344.428	342.401	302.753	293.877
391.627	280.788	342.561	303.264	294.366
391.565	354.474	342.270	303.769	294.855
391.503	321.007	341.518	304.270	295.345
391.441	311.395	340.301	304.765	295.834
391.378	290.475	338.621	305.254	296.323
391.316	278.519	336.488	305.739	296.812
391.254	298.479	333.915	306.217	297.302
391.192	213.622	330.925	306.688	297.791
391.130	290.845	327.547	307.151	298.280
391.068	347.295	323.821	307.604	298.769
391.006	311.794	319.795	308.043	299.259
390.944	385.100	315.537	308.464	299.748
390.882	300.765	311.135	308.860	300.237
390.820	285.377	306.716	309.221	300.726
390.758	234.902	302.462	309.535	301.216
390.696	344.725	298.626	309.795	301.705
390.633	260.908	295.502	310.008	302.194
390.571	269.674	293.302	310.213	302.683
390.509	274.419	292.033	310.452	303.173
390.447	354.586	291.542	310.745	303.662
390.385	375.447	291.648	311.088	304.151
390.323	254.788	292.214	311.468	304.640
390.261	213.364	293.153	311.875	305.130
390.199	254.291	294.405	312.301	305.619
390.137	346.494	295.935	312.740	306.108
390.075	312.058	297.715	313.189	306.597
390.013	355.265	299.724	313.646	307.087
389.951	228.189	301.943	314.107	307.576
389.889	306.080	304.355	314.573	308.065
389.826	211.145	306.942	315.042	308.554
389.764	314.678	309.684	315.514	309.044
389.702	314.828	312.563	315.987	309.533
389.640	244.230	315.556	316.462	310.022
389.578	234.785	318.639	316.938	310.511
389.516	208.819	321.789	317.415	311.001
389.454	301.183	324.977	317.893	311.490
389.392	290.385	328.175	318.371	311.979
389.330	212.361	331.354	318.850	312.468
389.268	300.001	334.483	319.328	312.958
389.206	275.727	337.528	319.807	313.447
389.144	392.155	340.458	320.286	313.936
389.081	313.094	343.238	320.764	314.425
389.019	381.443	345.836	321.242	314.915
388.957	297.986	348.217	321.719	315.404
388.895	257.424	350.350	322.196	315.893
388.833	263.846	352.203	322.671	316.382
388.771	304.801	353.745	323.144	316.872
388.709	294.495	354.950	323.616	317.361
388.647	290.593	355.792	324.085	317.850
388.585	359.475	356.250	324.550	318.339
388.523	283.293	356.309	325.009	318.829
388.461	303.402	355.960	325.461	319.318
388.399	344.534	355.203	325.902	319.807
388.336	317.269	354.055	326.326	320.296
388.274	313.122	352.564	326.719	320.786
388.212	349.670	350.844	327.059	321.275
388.150	430.868	349.167	327.297	321.764
388.088	292.007	348.182	327.360	322.253
388.026	343.196	348.856	327.298	322.743
387.964	273.604	351.175	327.353	323.232
387.902	408.213	354.112	327.585	323.721
387.840	200.937	356.948	327.922	324.210
387.778	281.220	359.359	328.314	324.700
387.716	280.205	361.189	328.736	325.189
387.654	244.573	362.354	329.177	325.678
387.592	311.488	362.801	329.629	326.167
387.529	242.336	362.497	330.088	326.657
387.467	339.674	361.426	330.553	327.146
387.405	263.243	359.579	331.022	327.635
